#YY,MM,DD,hh,mm,WDIR,WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2021,1,2,5,40,71 1,0.4,12.8,3.8,16,7.55,359,1015.5,24.1,25.2,22.1,99,99
2021,1,2,5,50,72 1,0.3,12.5,99,99,99,999,1015.7,24.2,25.2,22.2,99,99
2021,1,2,6,0,72 1,0.2,12.8,99,99,99,999,1015.7,24.2,25.2,22.2,99,99
2021,1,2,6,10,71 1,0.3,12.8,99,99,99,999,1015.8,24.3,25.2,22.1,99,99
2021,1,2,6,20,71 1,0.2,12.4,99,99,99,999,1015.9,24.3,25.2,22.1,99,99
2021,1,2,6,30,73 1,0.4,12.9,99,99,99,999,1015.9,24.3,25.2,21.8,99,99
2021,1,2,6,40,68 1,0.6,12.9,3.56,16,7.45,357,1016,24.3,25.2,21.6,99,99
2021,1,2,6,50,68 1,0.2,12.3,99,99,99,999,1016,24.3,25.2,21.8,99,99
2021,1,2,7,0,71,9.5,12.2,99,99,99,999,1016.1,24.4,25.2,22.1,99,99
2021,1,2,7,10,69,9.6,12.3,99,99,99,999,1016.2,24.4,25.2,22.1,99,99
2021,1,2,7,20,72,9.4,11.6,99,99,99,999,1016.2,24.5,25.2,21.9,99,99
2021,1,2,7,30,71,9.7,12.1,99,99,99,999,1016.2,24.5,25.2,21.6,99,99
2021,1,2,7,40,72,9.6,12,3.46,16,7.4,334,1016.2,24.6,25.2,21.6,99,99
2021,1,2,7,50,69,9.6,12.3,99,99,99,999,1016.2,24.5,25.2,21.7,99,99
2021,1,2,8,0,68,9.5,11.7,99,99,99,999,1016.3,24.5,25.2,21.6,99,99
2021,1,2,8,10,68,9.6,11.8,99,99,99,999,1016.2,24.5,25.2,21.5,99,99
2021,1,2,8,20,71,9.4,11.2,99,99,99,999,1016.3,24.5,25.2,21.4,99,99
2021,1,2,8,30,64,8.9,10.8,99,99,99,999,1016.3,24.5,25.2,21.5,99,99
2021,1,2,8,40,64,8.9,11.3,3.64,16,7.87,338,1016.3,24.5,25.2,21.6,99,99
2021,1,2,8,50,63,8.9,11,99,99,99,999,1016.3,24.5,25.2,21.7,99,99
2021,1,2,9,0,69,8.5,11.8,99,99,99,999,1016.3,24,25.2,21.8,99,99
2021,1,2,9,10,71,9.4,11.6,99,99,99,999,1016.3,24.2,25.2,21.6,99,99
2021,1,2,9,20,69,9,10.8,99,99,99,999,1016.2,24.5,25.2,21.5,99,99
2021,1,2,9,30,70,8.8,10.8,99,99,99,999,1016.2,24.5,25.2,21.3,99,99
2021,1,2,9,40,69,8.2,10.2,3.43,14.81,7.66,353,1016.1,24.5,25.2,21.5,99,99
2021,1,2,9,50,76,8.3,13.1,99,99,99,999,1016.2,24.4,25.2,21.7,99,99
2021,1,2,10,0,45,9.9,12.8,99,99,99,999,1016.3,23.3,25.2,21.7,99,99
2021,1,2,10,10,43,7.5,9.2,99,99,99,999,1016.2,23.4,25.2,22,99,99
2021,1,2,10,20,50,8.2,10.7,99,99,99,999,1016.2,24,25.2,22.2,99,99
2021,1,2,10,30,62,8.8,10.6,99,99,99,999,1016.3,24.3,25.2,21.7,99,99
2021,1,2,10,40,53,9.6,12.5,3.73,16,8.6,344,1016.2,24.1,25.2,21.8,99,99
2021,1,2,10,50,53 1,0.5,12.6,99,99,99,999,1016,23.6,25.2,21.7,99,99
2021,1,2,11,0,39,9.2,12.2,99,99,99,999,1016,23.2,25.2,21.5,99,99
2021,1,2,11,10,63,9.2,12,99,99,99,999,1015.9,24,25.2,21.5,99,99
2021,1,2,11,20,61,9.8,12.4,99,99,99,999,1015.9,24.2,25.2,20.8,99,99
2021,1,2,11,30,59 1,0.1,12,99,99,99,999,1015.8,24.3,25.2,20.5,99,99
2021,1,2,11,40,61,9.7,11.9,3.65,14.81,7.85,358,1015.8,24.4,25.2,20,99,99
2021,1,2,11,50,60,9.8,11.7,99,99,99,999,1015.7,24.4,25.2,19.9,99,99
2021,1,2,12,0,65,9.6,11.7,99,99,99,999,1015.5,24.4,25.2,20.1,99,99
2021,1,2,12,10,68,9.2,11.7,99,99,99,999,1015.5,24.3,25.2,20.7,99,99
2021,1,2,12,20,64,8.8,10.7,99,99,99,999,1015.5,24.1,25.2,21,99,99
2021,1,2,12,30,58,9.3,11.4,99,99,99,999,1015.4,24.3,25.2,20.3,99,99
2021,1,2,12,40,55,9,11.1,3.66,16,7.92,358,1015.4,24.3,25.2,20.4,99,99
2021,1,2,12,50,51,8.7,11,99,99,99,999,1015.3,24.2,25.2,20.7,99,99
2021,1,2,13,0,56,8.9,11.6,99,99,99,999,1015.3,24.2,25.2,20.8,99,99
2021,1,2,13,10,59,9.6,11.8,99,99,99,999,1015.2,24.1,25.2,20.7,99,99
2021,1,2,13,20,61,8.9,11.2,99,99,99,999,1015.3,23.9,25.2,20.8,99,99
2021,1,2,13,30,54,7.9,11,99,99,99,999,1015.3,23.5,25.2,21,99,99
2021,1,2,13,40,58,9.1,11.9,3.83,16,8.5,352,1015.2,23.9,25.2,20.7,99,99
2021,1,2,13,50,63,9.7,11.7,99,99,99,999,1015.4,24.2,25.2,19.8,99,99
2021,1,2,14,0,60,9.4,11.8,99,99,99,999,1015.4,24.3,25.2,19.7,99,99
2021,1,2,14,10,54,9.5,11.3,99,99,99,999,1015.5,24.2,25.2,19.4,99,99
2021,1,2,14,20,65,9.5,11.5,99,99,99,999,1015.6,24.2,25.2,19.5,99,99
2021,1,2,14,30,61,9.6,12,99,99,99,999,1015.7,24.2,25.2,19.9,99,99
2021,1,2,14,40,61,8.7,11.5,3.87,14.81,8.31,344,1015.9,24.2,25.2,19.9,99,99
2021,1,2,14,50,67,8.3,10.1,99,99,99,999,1015.9,24.2,25.2,20,99,99
2021,1,2,15,0,72,8.4,10.7,99,99,99,999,1016,24.2,25.2,19.7,99,99
2021,1,2,15,10,68,8.6,10.8,99,99,99,999,1016.1,24.2,25.2,19.9,99,99
2021,1,2,15,20,71,9,11.1,99,99,99,999,1016.2,24.2,25.2,19.4,99,99
2021,1,2,15,30,72,8.5,10.9,99,99,99,999,1016.2,24.3,25.2,19.5,99,99
2021,1,2,15,40,74,8.8,10.7,4.06,16,8.61,334,1016.3,24.3,25.2,19.1,99,99
2021,1,2,15,50,76,8.7,10.7,99,99,99,999,1016.3,24.4,25.2,19.6,99,99
2021,1,2,16,0,74,8.6,10.6,99,99,99,999,1016.5,24.3,25.2,19.7,99,99
2021,1,2,16,10,74,8.5,10.5,99,99,99,999,1016.6,24.2,25.2,19.4,99,99
2021,1,2,16,20,76,8.2,10.4,99,99,99,999,1016.7,24.3,25.2,19.5,99,99
2021,1,2,16,30,75,7.8,9.9,99,99,99,999,1016.8,24.3,25.2,19.8,99,99
2021,1,2,16,40,77,7.9,10.3,3.68,14.81,8.07,344,1016.8,24.3,25.2,20,99,99
2021,1,2,16,50,82,8.2,10.2,99,99,99,999,1016.8,24.3,25.2,19.9,99,99
2021,1,2,17,0,83,8.4,10.3,99,99,99,999,1017,24.3,25.2,19.8,99,99
2021,1,2,17,10,81,7.9,10.3,99,99,99,999,1017,24.4,25.2,20.2,99,99
2021,1,2,17,20,80,7.8,9.8,99,99,99,999,1017.1,24.3,25.2,20.3,99,99
2021,1,2,17,30,80,7.5,9.2,99,99,99,999,1017.3,24.4,25.2,20.7,99,99
2021,1,2,17,40,70,7.4,9.9,3.74,14.81,8.38,334,1017.3,24.3,25.2,21.1,99,99
2021,1,2,17,50,78,7,9.4,99,99,99,999,1017.5,24.2,25.2,21.2,99,99
2021,1,2,18,0,75,7.6,9.7,99,99,99,999,1017.6,24.2,25.2,21,99,99
2021,1,2,18,10,75,7.3,9.3,99,99,99,999,1017.5,24.2,25.2,21,99,99
2021,1,2,18,20,71,7.4,9.1,99,99,99,999,1017.6,24.2,25.2,21.3,99,99
2021,1,2,18,30,70,7.2,9.2,99,99,99,999,1017.6,24.2,25.2,21.5,99,99
2021,1,2,18,40,75,7.5,9.5,3.65,14.81,8.41,352,1017.7,24.3,25.2,21.7,99,99
2021,1,2,18,50,77,7.2,10,99,99,99,999,1017.7,24.3,25.2,21.4,99,99
2021,1,2,19,0,68,7.2,9,99,99,99,999,1017.8,24.2,25.2,21.5,99,99
2021,1,2,19,10,70,8.3,12.8,99,99,99,999,1017.9,24.1,25.2,21.7,99,99
2021,1,2,19,20,77,8.3,12.3,99,99,99,999,1017.9,23.2,25.2,21,99,99
2021,1,2,19,30,82,6.4,8.3,99,99,99,999,1017.8,23.4,25.2,20.5,99,99
2021,1,2,19,40,79,6.5,8.4,3.35,16,8.06,338,1017.8,23.9,25.2,21.2,99,99
2021,1,2,19,50,79,7.5,10,99,99,99,999,1017.7,24.1,25.2,21.3,99,99
2021,1,2,20,0,76,8,9.6,99,99,99,999,1017.6,24.3,25.2,21.1,99,99
2021,1,2,20,10,74,7.9,9.8,99,99,99,999,1017.5,24.4,25.2,21.3,99,99
2021,1,2,20,20,72,8.4,10.9,99,99,99,999,1017.5,24.3,25.2,21.1,99,99
2021,1,2,20,30,78,8,10.1,99,99,99,999,1017.4,24.4,25.2,21.3,99,99
2021,1,2,20,40,77,8,10,3.23,14.81,8.44,338,1017.3,24.4,25.2,21.5,99,99
